,movie,year,genre,cast
219,Love Actually,2003,"Comedy, Drama, Romance","Hugh Grant, Martine McCutcheon, Liam Neeson, Laura Linney, "
220,Fury,2014,"Action, Drama, War","Brad Pitt, Shia LaBeouf, Logan Lerman, Michael Peña, "
221,Lost in Translation,2003,Drama,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris, "
222,Kung Fu Panda,2008,"Animation, Action, Adventure","John Stevenson, Jack Black, Ian McShane, Angelina Jolie, "
223,Gangs of New York,2002,"Crime, Drama","Leonardo DiCaprio, Cameron Diaz, Daniel Day-Lewis, Jim Broadbent, "
224,The Last Samurai,2003,"Action, Drama, History","Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton, "
225,American Gangster,2007,"Biography, Crime, Drama","Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin, "
226,Zootopia,2016,"Animation, Adventure, Comedy","Rich Moore, Jared Bush, Ginnifer Goodwin, Jason Bateman, "
227,In Bruges,2008,"Comedy, Crime, Drama","Colin Farrell, Brendan Gleeson, Ciarán Hinds, Elizabeth Berrington, "
228,Citizen Kane,1941,"Drama, Mystery","Orson Welles, Joseph Cotten, Dorothy Comingore, Agnes Moorehead, "
229,Tangled,2010,"Animation, Adventure, Comedy","Byron Howard, Mandy Moore, Zachary Levi, Donna Murphy, "
230,Big Hero 6,2014,"Animation, Action, Adventure","Chris Williams, Ryan Potter, Scott Adsit, Jamie Chung, "
231,Midnight in Paris,2011,"Comedy, Fantasy, Romance","Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller, "
232,Training Day,2001,"Crime, Drama, Thriller","Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, "
233,The Princess Bride,1987,"Adventure, Family, Fantasy","Cary Elwes, Mandy Patinkin, Robin Wright, Chris Sarandon, "
234,Dead Poets Society,1989,"Comedy, Drama","Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles, "
235,Saw,2004,"Horror, Mystery, Thriller","Cary Elwes, Leigh Whannell, Danny Glover, Ken Leung, "
236,Platoon,1986,"Drama, War","Charlie Sheen, Tom Berenger, Willem Dafoe, Keith David, "
237,The Wizard of Oz,1939,"Adventure, Family, Fantasy","George Cukor, Mervyn LeRoy, Norman Taurog, King Vidor, "
238,The Theory of Everything,2014,"Biography, Drama, Romance","Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry, "
239,It's a Wonderful Life,1946,"Drama, Family, Fantasy","James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell, "
240,Spotlight,I) (2015,"Crime, Drama, History","Mark Ruffalo, Michael Keaton, Rachel McAdams, Liev Schreiber, "
241,28 Days Later...,2002,"Drama, Horror, Sci-Fi","Cillian Murphy, Naomie Harris, Christopher Eccleston, Alex Palmer, "
242,Hacksaw Ridge,2016,"Biography, Drama, History","Andrew Garfield, Sam Worthington, Luke Bracey, Teresa Palmer, "
243,Die Hard with a Vengeance,1995,"Action, Adventure, Thriller","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene, "
244,Predator,1987,"Action, Sci-Fi, Thriller","Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo, "
245,The Illusionist,2006,"Drama, Mystery, Romance","Edward Norton, Jessica Biel, Paul Giamatti, Rufus Sewell, "
246,Get Out,I) (2017,"Horror, Mystery, Thriller","Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener, "
247,Black Hawk Down,2001,"Drama, History, War","Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana, "
248,Unforgiven,1992,"Drama, Western","Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, "
249,Blade Runner 2049,2017,"Drama, Mystery, Sci-Fi","Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista, "
250,Collateral,2004,"Crime, Drama, Thriller","Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo, "
251,E.T. the Extra-Terrestrial,1982,"Family, Sci-Fi","Henry Thomas, Drew Barrymore, Peter Coyote, Dee Wallace, "
252,Amadeus,1984,"Biography, Drama, History","F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, "
253,Stand by Me,1986,"Adventure, Drama","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, "
254,Baby Driver,2017,"Action, Crime, Drama","Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González, "
255,The Machinist,2004,"Drama, Thriller","Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, "
256,Life of Brian,1979,Comedy,"Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, "
257,The Exorcist,1973,Horror,"Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb, "
258,Wreck-It Ralph,2012,"Animation, Adventure, Comedy","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman, "
259,Moneyball,2011,"Biography, Drama, Sport","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman, "
260,The Godfather: Part III,1990,"Crime, Drama","Al Pacino, Diane Keaton, Andy Garcia, Talia Shire, "
261,The Thing,1982,"Horror, Mystery, Sci-Fi","Kurt Russell, Wilford Brimley, Keith David, Richard Masur, "
262,127 Hours,2010,"Adventure, Biography, Drama","James Franco, Amber Tamblyn, Kate Mara, Sean Bott, "
263,The Town,2010,"Crime, Drama, Thriller","Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, "
264,Ghost Busters,1984,"Action, Comedy, Fantasy","Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, "
265,The Lives of Others,2006,"Drama, Thriller","Ulrich Mühe, Martina Gedeck, Sebastian Koch, Ulrich Tukur, "
266,Boyhood,I) (2014,Drama,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Elijah Smith, "
267,The Fighter,I) (2010,"Biography, Drama, Sport","Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo, "
268,Aladdin,1992,"Animation, Adventure, Comedy","John Musker, Scott Weinger, Robin Williams, Linda Larkin, "
269,Hotel Rwanda,2004,"Biography, Drama, History","Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali, "
270,The Others,2001,"Horror, Mystery, Thriller","Nicole Kidman, Christopher Eccleston, Fionnula Flanagan, Alakina Mann, "
271,Vertigo,1958,"Mystery, Romance, Thriller","James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, "
272,Inside Man,2006,"Crime, Drama, Mystery","Denzel Washington, Clive Owen, Jodie Foster, Christopher Plummer, "
273,Batman,1989,"Action, Adventure","Michael Keaton, Jack Nicholson, Kim Basinger, Robert Wuhl, "
274,The Breakfast Club,1985,"Comedy, Drama","Emilio Estevez, Judd Nelson, Molly Ringwald, Ally Sheedy, "
275,The Game,1997,"Drama, Mystery, Thriller","Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn, "
276,Sicario,2015,"Action, Crime, Drama","Emily Blunt, Josh Brolin, Benicio Del Toro, Jon Bernthal, "
277,Moon,2009,"Drama, Mystery, Sci-Fi","Sam Rockwell, Kevin Spacey, Dominique McElligott, Rosie Shaw, "
278,The Fault in Our Stars,2014,"Drama, Romance","Shailene Woodley, Ansel Elgort, Nat Wolff, Laura Dern, "
279,Man on Fire,2004,"Action, Crime, Drama","Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell, "
280,50/50,2011,"Comedy, Drama, Romance","Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick, Bryce Dallas Howard, "
281,Der Untergang,2004,"Biography, Drama, History","Bruno Ganz, Alexandra Maria Lara, Ulrich Matthes, Juliane Köhler, "
282,Brokeback Mountain,2005,"Drama, Romance","Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid, "
283,The Lego Movie,2014,"Animation, Action, Adventure","Christopher Miller, Chris Pratt, Will Ferrell, Elizabeth Banks, "
284,The Big Short,2015,"Biography, Comedy, Drama","Christian Bale, Steve Carell, Ryan Gosling, Brad Pitt, "
285,Room,I) (2015,"Drama, Thriller","Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson, "
286,Lucky Number Slevin,2006,"Crime, Drama, Mystery","Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu, "
287,Being John Malkovich,1999,"Comedy, Drama, Fantasy","John Cusack, Cameron Diaz, Catherine Keener, John Malkovich, "
288,3 Idiots,2009,"Comedy, Drama","Aamir Khan, Madhavan, Mona Singh, Sharman Joshi, "
289,Moonrise Kingdom,2012,"Adventure, Comedy, Drama","Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray, "
290,Mulholland Dr.,2001,"Drama, Mystery, Thriller","Naomi Watts, Laura Harring, Justin Theroux, Jeanne Bates, "
291,Ferris Bueller's Day Off,1986,Comedy,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, "
292,Mononoke-hime,1997,"Animation, Adventure, Fantasy","Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup, "
293,Raging Bull,1980,"Biography, Drama, Sport","Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent, "
294,Les Misérables,2012,"Drama, History, Musical","Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, "
295,The Deer Hunter,1978,"Drama, War","Robert De Niro, Christopher Walken, John Cazale, John Savage, "
296,The Wrestler,2008,"Drama, Sport","Mickey Rourke, Marisa Tomei, Evan Rachel Wood, Mark Margolis, "
297,True Grit,2010,"Adventure, Drama, Western","Joel Coen, Jeff Bridges, Matt Damon, Hailee Steinfeld, "
298,"Three Billboards Outside Ebbing, Missouri",2017,"Comedy, Crime, Drama","Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones, "
299,Lord of War,2005,"Crime, Drama, Thriller","Nicolas Cage, Ethan Hawke, Jared Leto, Bridget Moynahan, "
300,Shichinin no samurai,1954,"Adventure, Drama","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki, "
301,Hauru no ugoku shiro,2004,"Animation, Adventure, Family","Chieko Baishô, Takuya Kimura, Tatsuya Gashûin, Akihiro Miwa, "
302,Interview with the Vampire: The Vampire Chronicles,1994,"Drama, Horror","Brad Pitt, Tom Cruise, Antonio Banderas, Kirsten Dunst, "
303,Magnolia,1999,Drama,"Tom Cruise, Jason Robards, Julianne Moore, Philip Seymour Hoffman, "
304,Once Upon a Time in America,1984,"Crime, Drama","Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, "
305,Apocalypto,2006,"Action, Adventure, Drama","Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández, Rudy Youngblood, "
306,Serenity,2005,"Action, Adventure, Sci-Fi","Nathan Fillion, Gina Torres, Chiwetel Ejiofor, Alan Tudyk, "
307,3:10 to Yuma,2007,"Action, Adventure, Crime","Russell Crowe, Christian Bale, Ben Foster, Logan Lerman, "
308,Seven Pounds,2008,"Drama, Romance","Will Smith, Rosario Dawson, Woody Harrelson, Michael Ealy, "
309,North by Northwest,1959,"Adventure, Mystery, Thriller","Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis, "
310,To Kill a Mockingbird,1962,"Crime, Drama","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy, "
311,Once Upon a Time in the West,1968,Western,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards, "
312,How to Train Your Dragon 2,2014,"Animation, Action, Adventure","Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, "
313,The Nightmare Before Christmas,1993,"Animation, Family, Fantasy","Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, "
314,The Blind Side,2009,"Biography, Drama, Sport","Quinton Aaron, Sandra Bullock, Tim McGraw, Jae Head, "
315,Chinatown,1974,"Drama, Mystery, Thriller","Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez, "
316,Gone with the Wind,1939,"Drama, History, Romance","George Cukor, Sam Wood, Clark Gable, Vivien Leigh, "
317,"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime","Ethan Coen, George Clooney, John Turturro, Tim Blake Nelson, "
318,Gattaca,1997,"Drama, Sci-Fi, Thriller","Ethan Hawke, Uma Thurman, Jude Law, Gore Vidal, "
319,Bridge of Spies,2015,"Drama, History, Thriller","Tom Hanks, Mark Rylance, Alan Alda, Amy Ryan, "
320,Donnie Brasco,1997,"Biography, Crime, Drama","Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, "
321,As Good as It Gets,1997,"Comedy, Drama, Romance","Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr., "
322,Moulin Rouge!,2001,"Drama, Musical, Romance","Nicole Kidman, Ewan McGregor, John Leguizamo, Jim Broadbent, "
323,About Time,I) (2013,"Comedy, Drama, Fantasy","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lydia Wilson, "
324,The Untouchables,1987,"Crime, Drama, Thriller","Kevin Costner, Sean Connery, Robert De Niro, Charles Martin Smith, "
325,Deadpool 2,2018,"Action, Adventure, Comedy","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, "
326,The Royal Tenenbaums,2001,"Comedy, Drama","Gene Hackman, Gwyneth Paltrow, Anjelica Huston, Ben Stiller, "
327,The Fugitive,1993,"Action, Crime, Drama","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, "
328,Apollo 13,I) (1995,"Adventure, Drama, History","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, "
329,Fear and Loathing in Las Vegas,1998,"Adventure, Comedy, Drama","Johnny Depp, Benicio Del Toro, Tobey Maguire, Michael Lee Gogin, "
330,Wo hu cang long,2000,"Action, Adventure, Fantasy","Yun-Fat Chow, Michelle Yeoh, Ziyi Zhang, Chen Chang, "
331,Stardust,2007,"Adventure, Family, Fantasy","Charlie Cox, Claire Danes, Sienna Miller, Ian McKellen, "
332,The Graduate,1967,"Comedy, Drama, Romance","Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, "
333,Lawrence of Arabia,1962,"Adventure, Biography, Drama","Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins, "
334,Annie Hall,1977,"Comedy, Romance","Woody Allen, Diane Keaton, Tony Roberts, Carol Kane, "
335,Almost Famous,2000,"Adventure, Comedy, Drama","Billy Crudup, Patrick Fugit, Kate Hudson, Frances McDormand, "
336,Before Sunrise,1995,"Drama, Romance","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, "
337,Jagten,2012,Drama,"Mads Mikkelsen, Thomas Bo Larsen, Annika Wedderkopp, Lasse Fogelstrøm, "
338,Gone Baby Gone,2007,"Crime, Drama, Mystery","Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan, "
339,Tonari no Totoro,1988,"Animation, Family, Fantasy","Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi, "
340,Scent of a Woman,1992,Drama,"Al Pacino, Chris O'Donnell, James Rebhorn, Gabrielle Anwar, "
341,Road to Perdition,2002,"Crime, Drama, Thriller","Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken, "
342,Pride & Prejudice,2005,"Drama, Romance","Keira Knightley, Matthew Macfadyen, Brenda Blethyn, Donald Sutherland, "
343,Office Space,1999,Comedy,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu, "
344,Atonement,2007,"Drama, Mystery, Romance","Keira Knightley, James McAvoy, Brenda Blethyn, Saoirse Ronan, "
345,Blow,2001,"Biography, Crime, Drama","Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, "
346,Changeling,2008,"Biography, Crime, Drama","Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith, "
347,Enemy at the Gates,2001,"Drama, History, War","Jude Law, Ed Harris, Joseph Fiennes, Rachel Weisz, "
348,Lethal Weapon,1987,"Action, Crime, Thriller","Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan, "
349,The Boondock Saints,1999,"Action, Crime, Thriller","Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco, "
350,Boogie Nights,1997,Drama,"Mark Wahlberg, Julianne Moore, Burt Reynolds, Luis Guzmán, "
351,Dances with Wolves,1990,"Adventure, Drama, Western","Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant, "
352,Dog Day Afternoon,1975,"Biography, Crime, Drama","Al Pacino, John Cazale, Penelope Allen, Sully Boyar, "
353,The Artist,I) (2011,"Comedy, Drama, Romance","Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, "
354,The Reader,2008,"Drama, Romance","Kate Winslet, Ralph Fiennes, Bruno Ganz, Jeanette Hain, "
355,Coco,I) (2017,"Animation, Adventure, Comedy","Adrian Molina, Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, "
356,Ready Player One,2018,"Action, Adventure, Sci-Fi","Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Lena Waithe, "
357,Some Like It Hot,1959,"Comedy, Romance","Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, "
358,Hachi: A Dog's Tale,2009,"Drama, Family","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, "
359,The Sting,1973,"Comedy, Crime, Drama","Paul Newman, Robert Redford, Robert Shaw, Charles Durning, "
360,Mulan,1998,"Animation, Adventure, Family","Barry Cook, Ming-Na Wen, Eddie Murphy, BD Wong, "
361,Eastern Promises,2007,"Crime, Drama, Mystery","Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin, "
362,21 Grams,2003,"Crime, Drama, Thriller","Sean Penn, Benicio Del Toro, Naomi Watts, Danny Huston, "
363,The Goonies,1985,"Adventure, Comedy, Family","Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman, "
364,RoboCop,1987,"Action, Crime, Sci-Fi","Peter Weller, Nancy Allen, Dan O'Herlihy, Ronny Cox, "
365,A Few Good Men,1992,"Drama, Thriller","Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon, "
366,Walk the Line,2005,"Biography, Drama, Music","Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick, "
367,End of Watch,2012,"Action, Crime, Drama","Jake Gyllenhaal, Michael Peña, Anna Kendrick, America Ferrera, "
368,Thank You for Smoking,2005,"Comedy, Drama","Aaron Eckhart, Cameron Bright, Maria Bello, Joan Lunden, "
369,Stranger Than Fiction,2006,"Comedy, Drama, Fantasy","Will Ferrell, Emma Thompson, Dustin Hoffman, Queen Latifah, "
370,The Little Mermaid,1989,"Animation, Family, Fantasy","John Musker, Jodi Benson, Samuel E. Wright, Rene Auberjonois, "
371,Creed,2015,"Drama, Sport","Michael B. Jordan, Sylvester Stallone, Tessa Thompson, Phylicia Rashad, "
372,Gandhi,1982,"Biography, Drama, History","Ben Kingsley, John Gielgud, Rohini Hattangadi, Roshan Seth, "
373,Amores perros,2000,"Drama, Thriller","Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, "
374,Moana,I) (2016,"Animation, Adventure, Comedy","John Musker, Don Hall, Chris Williams, Auli'i Cravalho, "
375,Philadelphia,1993,Drama,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman, "
376,Das Boot,1981,"Adventure, Drama, Thriller","Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch, "
377,Before Sunset,2004,"Drama, Romance","Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès, "
378,A Quiet Place,2018,"Drama, Horror, Sci-Fi","Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe, "
379,Kiss Kiss Bang Bang,2005,"Action, Comedy, Crime","Robert Downey Jr., Val Kilmer, Michelle Monaghan, Corbin Bernsen, "
380,Clerks,1994,Comedy,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer, "
381,The Great Escape,1963,"Adventure, Drama, History","Steve McQueen, James Garner, Richard Attenborough, Charles Bronson, "
382,Manchester by the Sea,2016,Drama,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, "
383,First Blood,1982,"Action, Adventure, Drama","Sylvester Stallone, Brian Dennehy, Richard Crenna, Bill McKinney, "
384,Munich,2005,"Drama, History, Thriller","Eric Bana, Daniel Craig, Marie-Josée Croze, Ciarán Hinds, "
385,Per qualche dollaro in più,1965,Western,"Clint Eastwood, Lee Van Cleef, Gian Maria Volontè, Mario Brega, "
386,Ben-Hur,1959,"Adventure, Drama, History","Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet, "
387,The Elephant Man,1980,"Biography, Drama","Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud, "
388,Män som hatar kvinnor,2009,"Crime, Drama, Mystery","Michael Nyqvist, Noomi Rapace, Ewa Fröling, Lena Endre, "
389,Yip Man,2008,"Action, Biography, Drama","Donnie Yen, Simon Yam, Siu-Wong Fan, Ka Tung Lam, "
390,What's Eating Gilbert Grape,1993,Drama,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen, "
391,Låt den rätte komma in,2008,"Drama, Horror, Romance","Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl, "
392,Nuovo Cinema Paradiso,1988,Drama,"Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli, "
393,Mr. Nobody,2009,"Drama, Fantasy, Romance","Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham, "
394,Finding Neverland,2004,"Biography, Drama, Family","Johnny Depp, Kate Winslet, Julie Christie, Radha Mitchell, "
395,Singin' in the Rain,1952,"Comedy, Musical, Romance","Gene Kelly, Gene Kelly, Donald O'Connor, Debbie Reynolds, "
396,Match Point,2005,"Drama, Romance, Thriller","Scarlett Johansson, Jonathan Rhys Meyers, Emily Mortimer, Matthew Goode, "
397,Jodaeiye Nader az Simin,2011,"Crime, Drama, Family","Payman Maadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, "
398,Halloween,1978,"Horror, Thriller","Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes, "
399,Airplane!,1980,Comedy,"David Zucker, Jerry Zucker, Robert Hays, Julie Hagerty, "
400,Traffic,2000,"Crime, Drama, Thriller","Michael Douglas, Benicio Del Toro, Catherine Zeta-Jones, Jacob Vargas, "
401,True Romance,1993,"Crime, Drama, Romance","Christian Slater, Patricia Arquette, Dennis Hopper, Val Kilmer, "
402,Hotaru no haka,1988,"Animation, Drama, War","Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara, "
403,Carlito's Way,1993,"Crime, Drama, Thriller","Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, "
404,Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama","Paul Newman, Robert Redford, Katharine Ross, Strother Martin, "
405,Remember the Titans,2000,"Biography, Drama, Sport","Denzel Washington, Will Patton, Wood Harris, Ryan Hurst, "
406,Modern Times,1936,"Comedy, Drama, Family","Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, "
407,The Bridge on the River Kwai,1957,"Adventure, Drama, War","William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa, "
408,"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy","Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes, "
409,Lola rennt,1998,"Crime, Drama, Sci-Fi","Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri, "
410,Dark City,1998,"Mystery, Sci-Fi, Thriller","Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt, "
411,The Sound of Music,1965,"Biography, Drama, Family","Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn, "
412,Coraline,2009,"Animation, Drama, Fantasy","Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders, "
413,Sleepers,1996,"Crime, Drama, Thriller","Robert De Niro, Kevin Bacon, Brad Pitt, Jason Patric, "
414,When Harry Met Sally...,1989,"Comedy, Drama, Romance","Billy Crystal, Meg Ryan, Carrie Fisher, Bruno Kirby, "
415,The Great Dictator,1940,"Comedy, Drama, War","Charles Chaplin, Paulette Goddard, Jack Oakie, Reginald Gardiner, "
416,Per un pugno di dollari,1964,Western,"Clint Eastwood, Gian Maria Volontè, Marianne Koch, Wolfgang Lukschy, "
417,Lo imposible,2012,"Drama, History, Thriller","Naomi Watts, Ewan McGregor, Tom Holland, Oaklee Pendergast, "
418,Brazil,1985,"Drama, Sci-Fi","Jonathan Pryce, Kim Greist, Robert De Niro, Katherine Helmond, "
419,Sunset Blvd.,1950,"Drama, Film-Noir","William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, "
420,Serbuan maut,2011,"Action, Thriller","Iko Uwais, Ananda George, Ray Sahetapy, Donny Alamsyah, "
421,Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy","George Clooney, Meryl Streep, Bill Murray, Jason Schwartzman, "
422,Grindhouse,2007,"Action, Horror, Thriller","Eli Roth, Quentin Tarantino, Edgar Wright, Rob Zombie, "
423,Lion,2016,"Biography, Drama","Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar, "
424,El secreto de sus ojos,2009,"Drama, Mystery, Romance","Ricardo Darín, Soledad Villamil, Pablo Rago, Carla Quevedo, "
425,Cinderella Man,2005,"Biography, Drama, Sport","Russell Crowe, Renée Zellweger, Craig Bierko, Paul Giamatti, "
426,Ying xiong,2002,"Action, Adventure, History","Jet Li, Tony Chiu-Wai Leung, Maggie Cheung, Ziyi Zhang, "
427,Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy","Bob Hoskins, Christopher Lloyd, Joanna Cassidy, Charles Fleischer, "
428,Rosemary's Baby,1968,"Drama, Horror","Mia Farrow, John Cassavetes, Ruth Gordon, Sidney Blackmer, "
429,The Blues Brothers,1980,"Adventure, Comedy, Crime","John Belushi, Dan Aykroyd, Cab Calloway, John Candy, "
430,The Last King of Scotland,2006,"Biography, Drama, History","James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington, "
431,Close Encounters of the Third Kind,1977,"Drama, Sci-Fi","Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon, "
432,Adaptation.,2002,"Comedy, Drama","Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton, "
433,The Boy in the Striped Pyjamas,2008,"Drama, War","Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien, "
434,25th Hour,2002,Drama,"Edward Norton, Barry Pepper, Philip Seymour Hoffman, Rosario Dawson, "
435,Hell or High Water,II) (2016,"Crime, Drama, Thriller","Chris Pine, Ben Foster, Jeff Bridges, Gil Birmingham, "
436,The Hunt for Red October,1990,"Action, Adventure, Thriller","Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill, "
437,Straight Outta Compton,2015,"Biography, Drama, History","O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., "
438,Misery,1990,"Crime, Drama, Thriller","James Caan, Kathy Bates, Richard Farnsworth, Frances Sternhagen, "
439,Snow White and the Seven Dwarfs,1937,"Animation, Family, Fantasy","David Hand, Wilfred Jackson, Larry Morey, Perce Pearce, "
440,The Thin Red Line,1998,"Drama, War","Jim Caviezel, Sean Penn, Nick Nolte, Kirk Acevedo, "
441,Blue Velvet,1986,"Drama, Mystery, Thriller","Isabella Rossellini, Kyle MacLachlan, Dennis Hopper, Laura Dern, "
442,Hidden Figures,2016,"Biography, Drama, History","Taraji P. Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, "
443,Batoru rowaiaru,2000,"Adventure, Drama, Sci-Fi","Tatsuya Fujiwara, Aki Maeda, Tarô Yamamoto, Takeshi Kitano, "
