,movie,year,genre,cast
50,Up,2009,"Animation, Adventure, Comedy","Bob Peterson, Edward Asner, Jordan Nagai, John Ratzenberger, "
51,The Truman Show,1998,"Comedy, Drama, Sci-Fi","Jim Carrey, Ed Harris, Laura Linney, Noah Emmerich, "
52,One Flew Over the Cuckoo's Nest,1975,Drama,"Jack Nicholson, Louise Fletcher, Michael Berryman, Peter Brocco, "
53,Eternal Sunshine of the Spotless Mind,2004,"Drama, Romance, Sci-Fi","Jim Carrey, Kate Winslet, Tom Wilkinson, Gerry Robert Byrne, "
54,Reservoir Dogs,1992,"Crime, Drama, Thriller","Harvey Keitel, Tim Roth, Michael Madsen, Chris Penn, "
55,The Lion King,1994,"Animation, Adventure, Drama","Rob Minkoff, Matthew Broderick, Jeremy Irons, James Earl Jones, "
56,Raiders of the Lost Ark,1981,"Action, Adventure","Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies, "
57,Deadpool,2016,"Action, Adventure, Comedy","Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein, "
58,Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Fantasy","Daisy Ridley, John Boyega, Oscar Isaac, Domhnall Gleeson, "
59,Toy Story,1995,"Animation, Adventure, Comedy","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, "
60,Jurassic Park,1993,"Adventure, Sci-Fi, Thriller","Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, "
61,The Shining,1980,"Drama, Horror","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, "
62,A Beautiful Mind,2001,"Biography, Drama","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, "
63,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi","Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, "
64,No Country for Old Men,2007,"Crime, Drama, Thriller","Joel Coen, Tommy Lee Jones, Javier Bardem, Josh Brolin, "
65,Good Will Hunting,1997,Drama,"Robin Williams, Matt Damon, Ben Affleck, Stellan Skarsgård, "
66,Slumdog Millionaire,2008,"Drama, Romance","Loveleen Tandan, Dev Patel, Freida Pinto, Saurabh Shukla, "
67,Gone Girl,2014,"Crime, Drama, Mystery","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, "
68,Sin City,2005,"Crime, Thriller","Robert Rodriguez, Quentin Tarantino, Mickey Rourke, Clive Owen, "
69,"Monsters, Inc.",2001,"Animation, Adventure, Comedy","David Silverman, Lee Unkrich, Billy Crystal, John Goodman, "
70,The Hobbit: An Unexpected Journey,2012,"Adventure, Family, Fantasy","Martin Freeman, Ian McKellen, Richard Armitage, Andy Serkis, "
71,The Terminator,1984,"Action, Sci-Fi","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, "
72,Snatch,2000,"Comedy, Crime","Jason Statham, Brad Pitt, Benicio Del Toro, Dennis Farina, "
73,Die Hard,1988,"Action, Thriller","Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson, "
74,Alien,1979,"Horror, Sci-Fi","Sigourney Weaver, Tom Skerritt, John Hurt, Veronica Cartwright, "
75,Gravity,2013,"Drama, Sci-Fi, Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen, "
76,Donnie Darko,2001,"Drama, Sci-Fi, Thriller","Jake Gyllenhaal, Jena Malone, Mary McDonnell, Holmes Osborne, "
77,Catch Me If You Can,2002,"Biography, Crime, Drama","Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, "
78,300,2006,"Action, Fantasy","Gerard Butler, Lena Headey, David Wenham, Dominic West, "
79,Requiem for a Dream,2000,Drama,"Ellen Burstyn, Jared Leto, Jennifer Connelly, Marlon Wayans, "
80,A Clockwork Orange,1971,"Crime, Drama, Sci-Fi","Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, "
81,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Drama, Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon, "
82,Toy Story 3,2010,"Animation, Adventure, Comedy","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, "
83,The Hangover,2009,Comedy,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms, "
84,Gran Torino,2008,Drama,"Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her, "
85,The Martian,2015,"Adventure, Drama, Sci-Fi","Matt Damon, Jessica Chastain, Kristen Wiig, Kate Mara, "
86,Scarface,1983,"Crime, Drama","Al Pacino, Michelle Pfeiffer, Steven Bauer, Mary Elizabeth Mastrantonio, "
87,The Intouchables,2011,"Biography, Comedy, Drama","Éric Toledano, François Cluzet, Omar Sy, Anne Le Ny, "
88,The Big Lebowski,1998,"Comedy, Crime","Ethan Coen, Jeff Bridges, John Goodman, Julianne Moore, "
89,Amélie,2001,"Comedy, Romance","Audrey Tautou, Mathieu Kassovitz, Rufus, Lorella Cravotta, "
90,Black Swan,2010,"Drama, Thriller","Natalie Portman, Mila Kunis, Vincent Cassel, Winona Ryder, "
91,Cidade de Deus,2002,"Crime, Drama","Kátia Lund, Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele, "
92,Captain America: The Winter Soldier,2014,"Action, Adventure, Sci-Fi","Joe Russo, Chris Evans, Samuel L. Jackson, Scarlett Johansson, "
93,Star Wars: Episode III - Revenge of the Sith,2005,"Action, Adventure, Fantasy","Hayden Christensen, Natalie Portman, Ewan McGregor, Samuel L. Jackson, "
94,Taxi Driver,1976,"Crime, Drama","Robert De Niro, Jodie Foster, Cybill Shepherd, Albert Brooks, "
95,Indiana Jones and the Last Crusade,1989,"Action, Adventure, Fantasy","Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott, "
96,The Pianist,2002,"Biography, Drama, Music","Adrien Brody, Thomas Kretschmann, Frank Finlay, Emilia Fox, "
97,Silver Linings Playbook,2012,"Comedy, Drama, Romance","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver, "
98,The Grand Budapest Hotel,2014,"Adventure, Comedy, Drama","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, "
99,Blade Runner,1982,"Sci-Fi, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, "
100,X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi","Patrick Stewart, Ian McKellen, Hugh Jackman, James McAvoy, "
101,"Il buono, il brutto, il cattivo",1966,Western,"Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, "
102,District 9,2009,"Sci-Fi, Thriller","Sharlto Copley, David James, Jason Cope, Nathalie Boltt, "
103,X: First Class,2011,"Action, Adventure, Sci-Fi","James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon, "
104,The Imitation Game,2014,"Biography, Drama, Thriller","Benedict Cumberbatch, Keira Knightley, Matthew Goode, Allen Leech, "
105,Kill Bill: Vol. 2,2004,"Action, Crime, Thriller","Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, "
106,Full Metal Jacket,1987,"Drama, War","Matthew Modine, R. Lee Ermey, Vincent D'Onofrio, Adam Baldwin, "
107,How to Train Your Dragon,2010,"Animation, Action, Adventure","Chris Sanders, Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, "
108,Skyfall,2012,"Action, Adventure, Thriller","Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench, "
109,Aliens,1986,"Action, Adventure, Sci-Fi","Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser, "
110,The Revenant,2015,"Action, Adventure, Drama","Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson, "
111,The King's Speech,2010,"Biography, Drama, History","Colin Firth, Geoffrey Rush, Helena Bonham Carter, Derek Jacobi, "
112,Whiplash,2014,"Drama, Music","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, "
113,The Bourne Ultimatum,2007,"Action, Mystery, Thriller","Matt Damon, Edgar Ramírez, Joan Allen, Julia Stiles, "
114,Trainspotting,1996,Drama,"Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, "
115,The Incredibles,2004,"Animation, Action, Adventure","Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee, "
116,Million Dollar Baby,2004,"Drama, Sport","Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel, "
117,12 Angry Men,1957,"Crime, Drama","Henry Fonda, Lee J. Cobb, Martin Balsam, John Fiedler, "
118,Pan's Labyrinth,2006,"Drama, Fantasy, War","Ivana Baquero, Ariadna Gil, Sergi López, Maribel Verdú, "
119,The Social Network,2010,"Biography, Drama","Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara, "
120,12 Years a Slave,2013,"Biography, Drama, History","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt, "
121,The Hobbit: The Desolation of Smaug,2013,"Adventure, Fantasy","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, "
122,Ratatouille,2007,"Animation, Adventure, Comedy","Jan Pinkava, Brad Garrett, Lou Romano, Patton Oswalt, "
123,Star Trek,2009,"Action, Adventure, Sci-Fi","Chris Pine, Zachary Quinto, Simon Pegg, Leonard Nimoy, "
124,Fargo,1996,"Crime, Drama, Thriller","Ethan Coen, William H. Macy, Frances McDormand, Steve Buscemi, "
125,Harry Potter and the Sorcerer's Stone,2001,"Adventure, Family, Fantasy","Daniel Radcliffe, Rupert Grint, Richard Harris, Maggie Smith, "
126,Shrek,2001,"Animation, Adventure, Comedy","Vicky Jenson, Mike Myers, Eddie Murphy, Cameron Diaz, "
127,Sherlock Holmes,2009,"Action, Adventure, Crime","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong, "
128,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller","Bruce Willis, Madeleine Stowe, Brad Pitt, Joseph Melito, "
129,Taken,I) (2008,"Action, Crime, Thriller","Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser, "
130,Apocalypse Now,1979,"Drama, War","Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest, "
131,Casino Royale,2006,"Action, Adventure, Thriller","Daniel Craig, Eva Green, Judi Dench, Jeffrey Wright, "
132,Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family","Kirk Wise, Daveigh Chase, Suzanne Pleshette, Miyu Irino, "
133,Edge of Tomorrow,2014,"Action, Sci-Fi","Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, "
134,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi","Joe Russo, Chris Evans, Robert Downey Jr., Scarlett Johansson, "
135,The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance","Brad Pitt, Cate Blanchett, Tilda Swinton, Julia Ormond, "
136,La vita è bella,1997,"Comedy, Drama, War","Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini, Giustino Durano, "
137,Groundhog Day,1993,"Comedy, Fantasy, Romance","Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, "
138,Kingsman: The Secret Service,2014,"Action, Adventure, Comedy","Colin Firth, Taron Egerton, Samuel L. Jackson, Michael Caine, "
139,Argo,2012,"Biography, Drama, Thriller","Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin, "
140,2001: A Space Odyssey,1968,"Adventure, Sci-Fi","Keir Dullea, Gary Lockwood, William Sylvester, Daniel Richter, "
141,Life of Pi,2012,"Adventure, Drama, Fantasy","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu, "
142,Psycho,1960,"Horror, Mystery, Thriller","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin, "
143,Logan,2017,"Action, Drama, Sci-Fi","Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook, "
144,Into the Wild,2007,"Adventure, Biography, Drama","Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden, "
145,Heat,1995,"Crime, Drama, Thriller","Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, "
146,Drive,I) (2011,"Crime, Drama","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks, "
